Date,SMB,HML,QMJ,BAB,MOM,RF,MKT,MKT_RF,NVDA,INTC
1/31/2007,0.001,-0.0011,-0.0032,0.0135,0.0021,0.0044,-0.019617963,-0.024017963,0.01141924,-0.052481076
2/28/2007,0.0132,-0.0009,-0.005,0.0116,-0.0135,0.0038,0.007592538,0.003792538,-0.071613123,-0.031603316
3/31/2007,-0.0006,-0.0022,0.0024,-0.0011,0.0247,0.0043,0.048437726,0.044137726,0.142808242,0.123889557
4/30/2007,-0.0206,-0.0115,-0.0017,0.0078,-0.0016,0.0044,0.033920024,0.029520024,0.053207447,0.031628035
5/31/2007,0.0003,-0.0005,0.006,-0.0106,-0.0026,0.0041,-0.018849633,-0.022949633,0.192551805,0.075877272
6/30/2007,0.0077,-0.0113,0.011,0.0077,0.0038,0.004,-0.027135204,-0.031135204,0.107722224,-0.005054453
7/31/2007,-0.0251,-0.0334,0.0235,-0.0062,0.028,0.004,0.012832843,0.008832843,0.11800727,0.090177311
8/31/2007,-0.0013,-0.0224,0.0135,-0.0291,0.0011,0.0042,0.033810028,0.029610028,0.062548714,0.008963952
9/30/2007,-0.0229,-0.0187,-0.0079,0.0137,0.0459,0.0032,0.018374781,0.015174781,-0.023730767,0.040216881
10/31/2007,0.0022,-0.0259,0.0011,0.0026,0.0496,0.0032,-0.038732244,-0.041932244,-0.108535878,-0.03048352
11/30/2007,-0.0263,-0.0118,0.0362,-0.0386,0.0093,0.0034,-0.016480556,-0.019880556,0.078630391,0.026567775
12/31/2007,0.002,-0.0052,0.0177,-0.0263,0.0652,0.0027,-0.055474633,-0.058174633,-0.277189948,-0.208552261
1/31/2008,-0.0089,0.0365,-0.0096,-0.0199,-0.0789,0.0021,-0.025842585,-0.027942585,-0.130134178,-0.053554609
2/29/2008,-0.0023,-0.0095,0.0213,0.0221,0.0614,0.0013,-0.013824804,-0.015124804,-0.074800837,0.067033325
